en,es,vi,de,ar,ja,hi
diagnostic testing,pruebas de diagnóstico,xét nghiệm chẩn đoán,diagnostische Tests,الاختبارات التشخيصية,診断検査,नैदानिक ​​परीक्षण
diagnostic tests,pruebas de diagnóstico,xét nghiệm chẩn đoán,diagnostische Tests,الاختبارات التشخيصية,診断検査,नैदानिक ​​परीक्षण
dialectical behaviour therapy,terapia dialéctica conductual,liệu pháp hành vi biện chứng,dialektische Verhaltenstherapie,العلاج السلوكي الجدلي,弁証法的行動療法,द्वंद्वात्मक व्यवहार चिकित्सा
dialysis,diálisis,lọc máu,Dialyse,غسيل الكلى,透析,डायलिसिस
diaphragm,diafragma,màng ngăn,Membran,غشاء,横隔膜,डायाफ्राम
diarrhoea,diarrea,tiêu chảy,Diarrhö,إسهال,下痢,अतिसार
the runs,cagalera,tào tháo đuổi,Flitzekacke,إسهال,お腹がゆるい,दस्त
runny tummy,flojera de estómago,đi ngoài,Dünnpfiff,مغص مع إسهال,下痢,पेट चलना
loose stools,heces sueltas,phân lỏng,flüssiger Stuhl,براز سائل,軟便,ढीला मल
diarrhoea causes,la diarrea causa,tiêu chảy gây ra,Durchfallursachen,أسباب الإسهال,下痢の原因,दस्त के कारण
diarrhoea in children,diarrea en niños,tiêu chảy ở trẻ em,Durchfall bei Kindern,الإسهال عند الأطفال,小児の下痢,बच्चों में दस्त
diazepam,diazepam,diazepam,Diazepam,ديازيبام,ジアゼパム,डायजेपाम
diet,dieta,ăn kiêng,Diät,نظام عذائي,ダイエット,आहार
dietary fats,grasas dietéticas,chất béo trong chế độ ăn,Nahrungsfette,الدهون الغذائية,食事性脂肪,आहार वसा
dietary fibre,fibra dietética,chất xơ trong chế độ ăn uống,Ballaststoffe,الألياف الغذائية,食物繊維,आहार फाइबर
dietitians,dietistas,chuyên gia dinh dưỡng,Diätologen,أخصائيو التغذية,栄養士,dietitians
diets,dietas,chế độ ăn uống,Diäten,الحميات الغذائية,ダイエット,आहार
difficulty reaching female orgasm,dificultad para alcanzar el orgasmo femenino,khó đạt cực khoái ở nữ,Schwierigkeiten beim Erreichen des weiblichen Orgasmus,صعوبة الوصول إلى النشوة الجنسية لدى النساء,女性のオーガズムに達するのが難しい,महिला ऑर्गेज्म तक पहुंचने में कठिनाई
diffuse idiopathic skeletal hyperostosis,hiperostosis esquelética idiopática difusa,chứng tăng sinh xương vô căn lan tỏa,diffuse idiopathische Skeletthyperostose,فرط التعظم الهيكلي المنتشر مجهول السبب,びまん性特発性骨増殖症,विसरित अज्ञातहेतु कंकाल हाइपरोस्टोसिस
digestive system,sistema digestivo,hệ tiêu hóa,Verdauungssystem,الجهاز الهضمي,消化器系,पाचन तंत्र
digital thermometers,termómetros digitales,nhiệt kế kỹ thuật số,digitale Thermometer,موازين حرارة رقمية,デジタル温度計,डिजिटल थर्मामीटर
dihydrocodeine,dihidrocodeína,dihydrocodeine,Dihydrocodein,ثنائي هيدروكودايين,ジヒドロコデイン,डाईहाइड्रोकोडीन
dilatation and curettage,dilatación y legrado,nong và nạo tử cung,Dilatation und Kürettage,التوسيع والكحت,拡張掻爬術,फैलाव और क्यूरेटेज
diphtheria,difteria,bệnh bạch hầu,Diphtherie,الخناق,ジフテリア,डिप्थीरिया
disability services and allied healthcare,servicios para personas con discapacidad y atención médica afín,dịch vụ dành cho người khuyết tật và chăm sóc sức khỏe liên quan,Dienstleistungen für Menschen mit Behinderungen und verwandte Gesundheitsdienstleistungen,خدمات ذوي الإعاقة والرعاية الصحية المساعدة,障害者サービスおよび関連医療,विकलांगता सेवाएं और संबद्ध स्वास्थ्य सेवाएं
disability services and the ndis,servicios para discapacitados y el ndis,dịch vụ dành cho người khuyết tật và NDIS,Behindertenhilfe und die NDIS,خدمات ذوي الإعاقة ونظام دعم الإعاقة الوطني,障害者サービスとNDIS,विकलांगता सेवाएं और एनडीआई
disasters,desastres,thảm họa,Katastrophen,الكوارث,災害,आपदाओं
disease modifying antirheumatic drugs for arthritis,fármacos antirreumáticos modificadores de la enfermedad para la artritis,thuốc điều trị thấp khớp làm thay đổi tiến trình bệnh viêm khớp,krankheitsmodifizierende Antirheumatika bei Arthritis,الأدوية المضادة للروماتيزم المعدلة للمرض لعلاج التهاب المفاصل,関節炎に対する疾患修飾性抗リウマチ薬,गठिया के लिए रोग-संशोधक एंटीरूमेटिक दवाएं
disorientation,desorientación,mất phương hướng,Desorientierung,الارتباك,見当識障害,भटकाव
dissociative identity disorder,trastorno de identidad disociativa,rối loạn đa nhân cách,dissoziative Identitätsstörung,اضطراب الهوية الانفصامية,解離性同一性障害,वियोजित पहचान विकार
diuretic medicines,medicamentos diuréticos,thuốc lợi tiểu,Diuretika,الأدوية المدرة للبول,利尿薬,मूत्रवर्धक दवाएँ
diverticular disease,enfermedad diverticular,bệnh túi thừa,Divertikelerkrankung,داء الرتوج,憩室疾患,डायवर्टिकुलर रोग
divorce and break up,divorcio y ruptura,ly hôn và chia tay,Scheidung und Trennung,الطلاق والانفصال,離婚と別れ,तलाक और अलगाव
doctor,doctor,bác sĩ,Arzt,طبيب,医者,चिकित्सक
dog bites,mordeduras de perro,chó cắn,Hundebisse,عضات الكلاب,犬に噛まれた,कुत्ते के काटने
domestic violence and abusive relationships,violencia doméstica y relaciones abusivas,bạo lực gia đình và các mối quan hệ lạm dụng,häusliche Gewalt und missbräuchliche Beziehungen,العنف المنزلي والعلاقات المسيئة,家庭内暴力と虐待的な関係,घरेलू हिंसा और अपमानजनक रिश्ते
donation,donación,quyên góp,Spende,هبة,寄付,दान
dopamine,dopamina,dopamine,Dopamin,الدوبامين,ドーパミン,डोपामाइन
down syndrome,síndrome de Down,hội chứng Down,Down-Syndrom,متلازمة داون,ダウン症候群,डाउन सिंड्रोम
doxycycline,doxiciclina,doxycycline,Doxycyclin,دوكسيسايكلين,ドキシサイクリン,डॉक्सीसाइक्लिन
drinking alcohol,beber alcohol,uống rượu,Alkohol trinken,شرب الكحول,アルコールを飲む,शराब पीना
drinking water and your health,El agua potable y su salud,Nước uống và sức khỏe của bạn,Trinkwasser und Ihre Gesundheit,مياه الشرب وصحتك,飲料水とあなたの健康,पीने का पानी और आपका स्वास्थ्य
droughts,sequías,hạn hán,Dürren,الجفاف,干ばつ,सूखे
drowning,ahogo,chết đuối,Ertrinken,الغرق,溺死,डूबना
drug and alcohol rehabilitation,rehabilitación de drogas y alcohol,cai nghiện ma túy và rượu,Drogen- und Alkoholrehabilitation,إعادة تأهيل مدمني المخدرات والكحول,薬物・アルコール依存症のリハビリテーション,नशीली दवाओं और शराब का पुनर्वास
drug overdose,sobredosis de drogas,quá liều thuốc,Drogenüberdosis,جرعة زائدة من المخدرات,薬物過剰摂取,मात्रा से अधिक दवाई
drugs and alcohol,drogas y alcohol,ma túy và rượu,Drogen und Alkohol,المخدرات والكحول,薬物とアルコール,ड्रग्स और शराब
drugs and alcohol - how to help someone,Drogas y alcohol: cómo ayudar a alguien,Ma túy và rượu - cách giúp đỡ một người,Drogen und Alkohol – wie man jemandem helfen kann,المخدرات والكحول - كيفية مساعدة شخص ما,薬物とアルコール – 困っている人を助ける方法,नशीली दवाओं और शराब - किसी की मदद कैसे करें
drugs in sport,dopaje en el deporte,thuốc kích thích trong thể thao,Doping im Sport,المنشطات في الرياضة,スポーツにおける薬物使用,खेल में ड्रग्स
dry eyes,ojos secos,mắt khô,trockene Augen,جفاف العين,ドライアイ,सूखी आँखें
dry mouth syndrome,síndrome de boca seca,hội chứng khô miệng,Syndrom des trockenen Mundes,متلازمة جفاف الفم,ドライマウス症候群,मुंह सूखने का सिंड्रोम
dry orgasm,orgasmo seco,cực khoái khô,trockener Orgasmus,النشوة الجافة,ドライオーガズム,शुष्क संभोग
dry socket,alveolitis seca,ổ răng khô,Alveolitis sicca,جفاف تجويف السنخ,ドライソケット,शुष्क सॉकेट
duchenne muscular dystrophy,distrofia muscular de Duchenne,loạn dưỡng cơ Duchenne,Duchenne-Muskeldystrophie,ضمور دوشين العضلي,デュシェンヌ型筋ジストロフィー,ड्यूशेन मस्कुलर डिस्ट्रॉफी
duodenal ulcer,úlcera duodenal,loét tá tràng,Zwölffingerdarmgeschwür,قرحة الاثني عشر,十二指腸潰瘍,ग्रहणी फोड़ा
dupuytren's contracture,contractura de Dupuytren,chứng co cứng Dupuytren,Dupuytren-Kontraktur,تقفع دوبويتران,デュピュイトラン拘縮,डुप्यूट्रेंस कॉन्ट्रैक्चर
dupuytren's fasciectomy,fasciectomía de Dupuytren,phẫu thuật cắt bỏ màng Dupuytren,Dupuytren-Fasziektomie,استئصال اللفافة في داء دوبويتران,デュピュイトラン拘縮に対する筋膜切除術,डुप्यूट्रेंस फेशिएक्टॉमी
dust mites,ácaros del polvo,mạt bụi,Hausstaubmilben,عث الغبار,ダニ,धूल के कण
dust storms,tormentas de polvo,bão bụi,Staubstürme,عواصف ترابية,砂嵐,धूल भरी आंधी
dwarfism,enanismo,bệnh lùn,Kleinwuchs,التقزم,小人症,बौनापन
dying,muriendo,chết,sterben,الموت,死にゆく,मरना
dying at home,morir en casa,qua đời tại nhà,Sterben zu Hause,الموت في المنزل,自宅で最期を迎える,घर पर मृत्यु
dysarthria,disartria,chứng khó nói,Dysarthrie,عسر التلفظ,構音障害,डिसार्थ्रिया
dyslexia,dislexia,chứng khó đọc,Dyslexie,عسر القراءة,失読症,डिस्लेक्सिया
dysmenorrhoea,dismenorrea,đau bụng kinh,Dysmenorrhoe,عسر الطمث,月経困難症,कष्टार्तव
dysphagia,disfagia,khó nuốt,Dysphagie,عسر البلع,嚥下障害,निगलने में कठिनाई
trouble swallowing,problemas para tragar,nghẹn,Schluckbeschwerden,صعوبة في البلع,飲み込みにくさ,निगलने में तकलीफ
difficulty swallowing,dificultad para tragar,vướng họng,Schluckprobleme,مشاكل في البلع,喉がつまること,गले में अटकना
dyspnoea,disnea,khó thở,Atemnot,بحة في الصوت,呼吸困難,दमा
dyspraxia,dispraxia,rối loạn vận động,Dyspraxie,عسر الأداء الحركي,発達性協調運動障害,दुष्क्रिया
dystonia,distonía,loạn trương lực cơ,Dystonie,خلل التوتر العضلي,ジストニア,दुस्तानता
e-cigarettes,cigarrillos electrónicos,thuốc lá điện tử,E-Zigaretten,السجائر الإلكترونية,電子タバコ,ई-सिगरेट
e-health,salud electrónica,y tế điện tử,E-Health,الصحة الإلكترونية,eヘルス,ई-स्वास्थ्य
e. coli infection,infección por E. coli,nhiễm trùng E. coli,E. coli-Infektion,عدوى الإشريكية القولونية,大腸菌感染症,ई. कोलाई संक्रमण
ear diseases and disorders,enfermedades y trastornos del oído,các bệnh và rối loạn về tai,Ohrerkrankungen und -störungen,أمراض واضطرابات الأذن,耳の病気と障害,कान के रोग और विकार
ear thermometers,termómetros de oído,nhiệt kế đo tai,Ohrthermometer,موازين حرارة الأذن,耳式体温計,कान थर्मामीटर
ear wax,cera del oído,ráy tai,Ohrenschmalz,شمع الأذن,耳垢,कान का मैल
earache,dolor de oídos,đau tai,Ohrenschmerzen,ألم,耳痛,कान में दर्द
early onset dementia,demencia de inicio temprano,chứng mất trí nhớ khởi phát sớm,früh einsetzende Demenz,الخرف المبكر,若年性認知症,प्रारंभिक अवस्था में मनोभ्रंश
ears,orejas,tai,Ohren,آذان,耳,कान
eating disorders,trastornos de la alimentación,rối loạn ăn uống,Essstörungen,اضطرابات الأكل,摂食障害,भोजन विकार
eating disorders and body image,trastornos alimentarios e imagen corporal,rối loạn ăn uống và hình ảnh cơ thể,Essstörungen und Körperbild,اضطرابات الأكل وصورة الجسم,摂食障害と身体イメージ,खान-पान संबंधी विकार और शरीर की छवि
eating healthy,comer sano,ăn uống lành mạnh,gesunde Ernährung,تناول طعاماً صحياً,健康的な食事,स्वस्थ खाना
eating unsafe foods,comer alimentos no seguros,ăn thực phẩm không an toàn,Verzehr unsicherer Lebensmittel,تناول الأطعمة غير الآمنة,安全でない食品を食べる,असुरक्षित खाद्य पदार्थों का सेवन
eating well,comer bien,ăn uống tốt,gesund essen,تناول الطعام بشكل جيد,健康的な食事を摂る,अच्छा खाना
ebola virus,virus del ébola,virus Ebola,Ebola-Virus,فيروس إيبولا,エボラウイルス,इबोला वायरस
ecstasy,éxtasis,sự hưng phấn,Ekstase,نشوة,エクスタシー,परमानंद
ectopic pregnancy,embarazo ectópico,thai ngoài tử cung,Eileiterschwangerschaft,الحمل خارج الرحم,子宮外妊娠,एक्टोपिक गर्भावस्था
eczema,eczema,bệnh chàm,Ekzem,الأكزيما,湿疹,एक्जिमा
edwards syndrome,síndrome de Edwards,hội chứng Edwards,Edwards-Syndrom,متلازمة إدواردز,エドワーズ症候群,एडवर्ड्स सिंड्रोम
egg allergy,alergia al huevo,dị ứng trứng,Eierallergie,حساسية البيض,卵アレルギー,अंडे से एलर्जी
ehlers-danlos syndrome,síndrome de Ehlers-Danlos,hội chứng Ehlers-Danlos,Ehlers-Danlos-Syndrom,متلازمة إهلرز دانلوس,エーラース・ダンロス症候群,एहलर्स-डानलोस सिंड्रोम
elective caesarean section,cesárea electiva,mổ lấy thai theo yêu cầu,geplanter Kaiserschnitt,عملية قيصرية اختيارية,選択的帝王切開,ऐच्छिक सीज़ेरियन सेक्शन
elective splenectomy,esplenectomía electiva,cắt bỏ lách tự chọn,elektive Splenektomie,استئصال الطحال الاختياري,選択的脾臓摘出術,ऐच्छिक स्प्लेनेक्टोमी
electric shocks and burns,descargas eléctricas y quemaduras,điện giật và bỏng,Stromschläge und Verbrennungen,الصدمات الكهربائية والحروق,感電と火傷,बिजली के झटके और जलन
electrocardiogram,electrocardiograma,điện tâm đồ,Elektrokardiogramm,تخطيط كهربية القلب,心電図,इलेक्ट्रोकार्डियोग्राम
electroconvulsive therapy,terapia electroconvulsiva,liệu pháp sốc điện,Elektrokrampftherapie,العلاج بالصدمات الكهربائية,電気けいれん療法,विद्युत - चिकित्सा
electroencephalogram,electroencefalograma,điện não đồ,Elektroenzephalogramm,تخطيط كهربية الدماغ,脳波図,इलेक्ट्रोएन्सेफेलोग्राम
elephantiasis,elefantiasis,bệnh phù chân voi,Elefantiasis,داء الفيل,象皮病,फ़ीलपाँव
emergency contraception,anticoncepción de emergencia,biện pháp tránh thai khẩn cấp,Notfallverhütung,وسائل منع الحمل الطارئة,緊急避妊薬,आपातकालीन गर्भनिरोधक
emergency departments,departamentos de urgencias,khoa cấp cứu,Notaufnahmen,أقسام الطوارئ,救急外来,आपातकालीन विभाग
emotional abuse,abuso emocional,lạm dụng cảm xúc,emotionaler Missbrauch,الإساءة العاطفية,精神的虐待,भावनात्मक दुर्व्यवहार
emphysema,enfisema,khí phế thũng,Emphysem,انتفاخ الرئة,肺気腫,एम्फीसेमा
encephalitis,encefalitis,viêm não,Enzephalitis,التهاب الدماغ,脳炎,इंसेफेलाइटिस
encephalopathy,encefalopatía,bệnh não,Enzephalopathie,اعتلال الدماغ,脳症,मस्तिष्क विकृति
end of life health,salud al final de la vida,sức khỏe cuối đời,Gesundheit am Lebensende,الرعاية الصحية في نهاية العمر,終末期医療,जीवन के अंतिम चरण का स्वास्थ्य
endocarditis,endocarditis,viêm nội tâm mạc,Endokarditis,التهاب الشغاف,心内膜炎,एंडोकार्डिटिस
endocrine disorders and diseases,trastornos y enfermedades endocrinas,rối loạn và bệnh lý nội tiết,endokrine Störungen und Erkrankungen,اضطرابات وأمراض الغدد الصماء,内分泌障害および疾患,अंतःस्रावी विकार और रोग
endocrine system,sistema endocrino,hệ thống nội tiết,endokrines System,الجهاز الصمّاوي,内分泌系,अंत: स्रावी प्रणाली
endocrinologist,endocrinólogo,bác sĩ nội tiết,Endokrinologe,أخصائيو الغدد الصماء,内分泌専門医,एंडोक्राइनोलॉजिस्ट
endometrial biopsy,biopsia endometrial,sinh thiết nội mạc tử cung,Endometriumbiopsie,خزعة بطانة الرحم,子宮内膜生検,एंडोमेट्रियल बायोप्सी
endometrial cancer,cáncer de endometrio,ung thư nội mạc tử cung,Endometriumkarzinom,سرطان بطانة الرحم,子宮内膜がん,गर्भाशय कैंसर
endometriosis,endometriosis,lạc nội mạc tử cung,Endometriose,الانتباذ البطاني الرحمي,子宮内膜症,endometriosis
endoscopic sinus surgery,cirugía endoscópica de senos paranasales,phẫu thuật nội soi xoang,endoskopische Nasennebenhöhlenoperation,جراحة الجيوب الأنفية بالمنظار,内視鏡下副鼻腔手術,एंडोस्कोपिक साइनस सर्जरी
endoscopic ultrasound,ecografía endoscópica,siêu âm nội soi,endoskopischer Ultraschall,الموجات فوق الصوتية التنظيرية,内視鏡超音波検査,एंडोस्कोपिक अल्ट्रासाउंड
endoscopy,endoscopia,nội soi,Endoskopie,التنظير الداخلي,内視鏡検査,एंडोस्कोपी
endovenous ablation,ablación endovenosa,triệt mạch máu nội tĩnh mạch,endovenöse Ablation,الاستئصال الوريدي,血管内焼灼術,अंतःशिरा एब्लेशन
engorgement,congestión,sự sung huyết,Schwellung,امتلاء الجسم,充血,सूजन
enterovirus in children,enterovirus en niños,enterovirus ở trẻ em,Enteroviren bei Kindern,فيروس معوي عند الأطفال,小児におけるエンテロウイルス,बच्चों में एंटरोवायरस
entropion and ectropion repair,Reparación de entropión y ectropión,Phẫu thuật điều trị lật mi trong và lật mi ngoài,Entropium- und Ektropiumreparatur,إصلاح انقلاب الجفن الداخلي والخارجي,眼瞼内反症および眼瞼外反症の修復,एंट्रोपियन और एक्ट्रोपियन की मरम्मत
epididymitis,epididimitis,viêm mào tinh hoàn,Nebenhodenentzündung,التهاب البربخ,精巣上体炎,epididymitis
epidural anaesthetic,anestesia epidural,gây tê ngoài màng cứng,Epiduralanästhesie,التخدير فوق الجافية,硬膜外麻酔,एपिड्यूरल एनेस्थेटिक
epidural injection for chronic pain relief,Inyección epidural para el alivio del dolor crónico,Tiêm ngoài màng cứng để giảm đau mãn tính,Epidurale Injektion zur Linderung chronischer Schmerzen,حقن فوق الجافية لتسكين الألم المزمن,慢性疼痛緩和のための硬膜外注射,दीर्घकालिक दर्द से राहत के लिए एपिड्यूरल इंजेक्शन
epigastric hernia repair,reparación de hernia epigástrica,Phẫu thuật sửa chữa thoát vị thượng vị,Reparatur einer epigastrischen Hernie,إصلاح الفتق فوق المعدي,上腹部ヘルニア修復,एपिगैस्ट्रिक हर्निया की मरम्मत
epilepsy,epilepsia,động kinh,Epilepsie,الصرع,てんかん,मिरगी
epipen,Epipen,bút tiêm epinephrine,Epipen,إيبين,エピペン,कलम अधि
erectile dysfunction,disfunción eréctil,rối loạn cương dương,erektile Dysfunktion,الضعف الجنسي لدى الرجال,勃起不全,स्तंभन दोष
erectile dysfunction medicines,medicamentos para la disfunción eréctil,thuốc điều trị rối loạn cương dương,Medikamente gegen erektile Dysfunktion,أدوية ضعف الانتصاب,勃起不全治療薬,स्तंभन दोष की दवाएँ
erythema nodosum,eritema nodoso,hồng ban nốt sần,Erythema nodosum,الحمامى العقدية,結節性紅斑,एरिथेमा नोडोसम
erythromelalgia,eritromelalgia,chứng đỏ da đầu chi,Erythromelalgie,احمرار الأطراف المؤلم,紅斑性肢痛,एरिथ्रोमेलजिया
escript,escript,kịch bản,escript,نص إلكتروني,電子スクリプト,स्क्रिप्ट
essential tremor,temblor esencial,run vô căn,essentieller Tremor,الرعاش الأساسي,本態性振戦,आवश्यक कंपकंपी
etherapy,terapia electrónica,liệu pháp điện tử,E-Therapie,العلاج الإلكتروني,eセラピー,ईथेरेपी
excessive worry,preocupación excesiva,lo lắng quá mức,übermäßige Sorgen,قلق مفرط,過度の心配,अत्यधिक चिंता
excision biopsy of a breast lump,Biopsia por escisión de un bulto en el seno,sinh thiết cắt bỏ khối u vú,Exzisionsbiopsie eines Brustknotens,خزعة استئصالية لكتلة في الثدي,乳房腫瘤の切除生検,स्तन में गांठ की एक्सिशन बायोप्सी
excision of a ganglion,escisión de un ganglio,cắt bỏ hạch thần kinh,Exzision eines Ganglions,استئصال العقدة العصبية,神経節の切除,एक गैंग्लियन का निष्कासन
exercise,ejercicio,bài tập,Übung,يمارس,エクササイズ,व्यायाम
exercise and fitness,ejercicio y aptitud física,tập thể dục và thể hình,Bewegung und Fitness,التمارين واللياقة البدنية,運動とフィットネス,व्यायाम और फिटनेस
exercise and mental health,ejercicio y salud mental,tập thể dục và sức khỏe tinh thần,Bewegung und psychische Gesundheit,ممارسة الرياضة والصحة النفسية,運動とメンタルヘルス,व्यायाम और मानसिक स्वास्थ्य
exercise physiologist,fisiólogo del ejercicio,nhà sinh lý học thể dục,Sportphysiologe,أخصائي فسيولوجيا التمارين الرياضية,運動生理学者,व्यायाम शरीर क्रिया विज्ञानी
expired medicines,medicamentos caducados,thuốc hết hạn,abgelaufene Medikamente,الأدوية منتهية الصلاحية,期限切れの医薬品,समाप्त हो चुकी दवाइयाँ
expressing breast milk,extracción de leche materna,vắt sữa mẹ,Abpumpen von Muttermilch,شفط حليب الثدي,母乳を搾乳する,स्तन का दूध निकालना
external cardioversion,cardioversión externa,chuyển nhịp tim ngoài lồng ngực,externe Kardioversion,تقويم نظم القلب الخارجي,体外式除細動,बाह्य कार्डियोवर्जन
extreme weather,condiciones climáticas extremas,thời tiết khắc nghiệt,extremes Wetter,الطقس القاسي,異常気象,चरम मौसम
eye,ojo,mắt,Auge,عين,目,आँख
eye cancer,cáncer de ojo,ung thư mắt,Augenkrebs,سرطان العين,眼がん,आंखों का कैंसर
eye care,cuidado de los ojos,chăm sóc mắt,Augenpflege,العناية بالعيون,眼科医療,आंख की देखभाल
eye discharge,secreción ocular,dịch tiết mắt,Augenausfluss,إفرازات العين,目やに,आँखों से स्राव
eye diseases and conditions,enfermedades y afecciones oculares,các bệnh và tình trạng về mắt,Augenkrankheiten und -zustände,أمراض وحالات العيون,眼疾患および眼の状態,आँखों के रोग और स्थितियाँ
eye floaters,moscas volantes,ruồi bay trước mắt,Glaskörpertrübungen,عوائم العين,飛蚊症,आंख फैलानेवाला
eye infections,infecciones oculares,nhiễm trùng mắt,Augeninfektionen,التهابات العين,眼感染症,आँखों के संक्रमण
eye strain,fatiga ocular,mỏi mắt,Augenbelastung,إجهاد العين,眼精疲労,आंख पर जोर
eye tests,pruebas de la vista,kiểm tra mắt,Sehtests,فحوصات العين,眼科検査,नेत्र परीक्षण
eye-health,salud ocular,sức khỏe mắt,Augengesundheit,صحة العين,目の健康,नेत्र-स्वास्थ्य
eyes,ojos,mắt,Augen,عيون,目,आँखें
fabry disease,enfermedad de Fabry,bệnh Fabry,Fabry-Krankheit,مرض فابري,ファブリー病,फैब्री रोग
face masks,mascarillas faciales,khẩu trang,Gesichtsmasken,أقنعة الوجه,フェイスマスク,चेहरे का मास्क
facelift,lifting facial,nâng cơ mặt,Facelift,عملية شد الوجه,フェイスリフト,नया रूप
facet joint injection,inyección en la articulación facetaria,tiêm khớp liên mấu,Facettengelenksinjektion,حقنة المفصل الوجيهي,椎間関節注射,फेसेट जॉइंट इंजेक्शन
facial bone fractures,fracturas de huesos faciales,gãy xương mặt,Gesichtsknochenbrüche,كسور عظام الوجه,顔面骨折,चेहरे की हड्डियों में फ्रैक्चर
facial droop,caída facial,sụp mí mắt,Gesichtslähmung,تدلي الوجه,顔のたるみ,चेहरे का झुकाव
facial injury,lesión facial,chấn thương mặt,Gesichtsverletzung,إصابة في الوجه,顔面外傷,चेहरे पर चोट
faecal incontinence,incontinencia fecal,không kiểm soát được phân,Stuhlinkontinenz,سلس البراز,便失禁,मल असंयम
falls,cascadas,thác,Falls,السقوط,滝,फॉल्स
family health history,antecedentes familiares de salud,tiền sử sức khỏe gia đình,Familiengesundheitsgeschichte,التاريخ الصحي للعائلة,家族の健康歴,पारिवारिक स्वास्थ्य इतिहास
family planning,planificación familiar,kế hoạch hóa gia đình,Familienplanung,تنظيم الأسرة,家族計画,परिवार नियोजन
farmer health,salud del agricultor,sức khỏe nông dân,Gesundheit der Landwirte,صحة المزارعين,農家の健康,किसान स्वास्थ्य
fasd,Fasd,fasd,fasd,fasd,fasd,fasd
fasting for tests,ayuno para pruebas,nhịn ăn để xét nghiệm,Fasten für Tests,الصيام قبل الاختبارات,検査のための絶食,परीक्षा के लिए उपवास
fat,gordo,mập,fett,سمين,脂肪,मोटा
fatigue,fatiga,mệt mỏi,Fatigue,إعياء,疲労,थकान
exhaustion,agotamiento,kiệt sức,Erschöpfung,إرهاق شديد,倦態感,थकावट
tiredness,cansancio,mệt rã rời,Müdigkeit,تعب,お疲れ,कमजोरी
feeling run down,estar derrengado,đuối sức,Abgeschlagenheit,خمول,体がだるいこと,सुस्ती
fats,grasas,chất béo,Fette,الدهون,脂肪,वसा
fatty liver,hígado graso,gan nhiễm mỡ,Fettleber,الكبد الدهني,脂肪肝,फैटी लीवर
favism,favismo,bệnh thiếu máu tán huyết,Favismus,الفافية,ファビズム,फेविज़्म
febrile seizure,convulsión febril,cơn co giật do sốt,Fieberkrampf,نوبة حمى,熱性けいれん,बुखार के दौरे
feeding your newborn baby,alimentar a tu bebé recién nacido,cho trẻ sơ sinh ăn,Füttern Ihres Neugeborenen,إطعام طفلك حديث الولادة,新生児に授乳する,अपने नवजात शिशु को दूध पिलाना
feeling restless,sensación de inquietud,cảm thấy bồn chồn,Unruhegefühl,الشعور بالأرق,落ち着かない,बेचैनी महसूस हो रही है
feeling worthless,sentirse inútil,cảm thấy vô giá trị,sich wertlos fühlen,الشعور بانعدام القيمة,自分に価値がないと感じる,बेकार महसूस करना
female health,salud femenina,sức khỏe phụ nữ,Frauengesundheit,صحة المرأة,女性の健康,महिला स्वास्थ्य
female libido,libido femenina,ham muốn tình dục nữ,weibliche Libido,الرغبة الجنسية لدى النساء,女性の性欲,महिला कामेच्छा
female orgasm,orgasmo femenino,cực khoái nữ,weiblicher Orgasmus,النشوة الجنسية لدى المرأة,女性のオーガズム,महिला ऑर्गेज्म
female pattern hair loss,alopecia femenina,rụng tóc theo kiểu nữ,weiblicher Haarausfall,تساقط الشعر النمطي لدى النساء,女性型脱毛症,महिलाओं में होने वाला बालों का झड़ना
female reproductive system,sistema reproductor femenino,hệ sinh sản nữ,weibliches Fortpflanzungssystem,الجهاز التناسلي الأنثوي,女性生殖器系,महिला प्रजनन प्रणाली
female sexual problems,problemas sexuales femeninos,các vấn đề tình dục ở nữ giới,weibliche Sexualprobleme,المشاكل الجنسية لدى النساء,女性の性的な問題,महिलाओं की यौन समस्याएं
female sterilisation,esterilización femenina,triệt sản nữ,Sterilisation der Frau,تعقيم الإناث,女性の不妊手術,महिला बंध्याकरण
femoral hernia repair,reparación de hernia femoral,phẫu thuật sửa chữa thoát vị đùi,Femoralhernienreparatur,إصلاح الفتق الفخذي,大腿ヘルニア修復,फीमोरल हर्निया की मरम्मत
fentanyl,fentanilo,fentanyl,Fentanyl,الفنتانيل,フェンタニル,फेंटानिल
fertility awareness,conocimiento de la fertilidad,nhận thức về khả năng sinh sản,Fruchtbarkeitsbewusstsein,الوعي بالخصوبة,妊孕性認識,प्रजनन जागरूकता
fetal alcohol spectrum disorder,trastorno del espectro alcohólico fetal,rối loạn phổ rượu bào thai,fetale Alkoholspektrumstörung,اضطرابات طيف الكحول الجنيني,胎児性アルコールスペクトラム障害,भ्रूण अल्कोहल स्पेक्ट्रम विकार
fever in babies and children,fiebre en bebés y niños,sốt ở trẻ sơ sinh và trẻ em,Fieber bei Säuglingen und Kindern,الحمى عند الرضع والأطفال,乳幼児の発熱,शिशुओं और बच्चों में बुखार
fever in children,fiebre en niños,sốt ở trẻ em,Fieber bei Kindern,الحمى عند الأطفال,小児の発熱,बच्चों में बुखार
fibre,fibra,sợi,Faser,الفيبر,ファイバ,फाइबर
fibroids,fibromas,u xơ tử cung,Myome,الأورام الليفية,子宮筋腫,फाइब्रॉएड
