en,es,vi,ar,de,hi,ja
colon cancer,cáncer de colon,ung thư đại tràng,سرطان القولون,Darmkrebs,पेट का कैंसर,結腸がん
colon resection for colon cancer,resección de colon para el cáncer de colon,Cắt bỏ một phần đại tràng để điều trị ung thư đại tràng,استئصال القولون لعلاج سرطان القولون,Kolonresektion bei Darmkrebs,कोलन कैंसर के लिए कोलन रिसेक्शन,結腸癌に対する結腸切除術
colonoscopy,colonoscopia,nội soi đại tràng,تنظير القولون,Koloskopie,colonoscopy,大腸内視鏡検査
colostomy,colostomía,hậu môn nhân tạo,فغر القولون,Kolostomie,कोलोस्टोमी,人工肛門
colour blindness,daltonismo,mù màu,عمى الألوان,Farbenblindheit,रंग दृष्टिहीनता,色覚異常
colposcopy,colposcopia,soi cổ tử cung,تنظير المهبل,Kolposkopie,योनिभित्तिदर्शन,コルポスコピー
coma,coma,hôn mê,غيبوبة,Koma,प्रगाढ़ बेहोशी,コマ
combined oral contraceptive pill,píldora anticonceptiva oral combinada,thuốc tránh thai đường uống kết hợp,حبوب منع الحمل الفموية المركبة,kombinierte orale Kontrazeptiva-Pille,संयुक्त मौखिक गर्भनिरोधक गोली,経口避妊薬
community nursing,enfermería comunitaria,điều dưỡng cộng đồng,التمريض المجتمعي,Gemeindepflege,सामुदायिक नर्सिंग,地域看護
compartment syndrome,síndrome compartimental,hội chứng khoang,متلازمة الحيز,Kompartmentsyndrom,कम्पार्टमेंट सिंड्रोम,コンパートメント症候群
compassion,compasión,lòng thương xót,عطف,Mitgefühl,करुणा,思いやり
complementary therapy,terapia complementaria,liệu pháp bổ sung,العلاج التكميلي,Komplementärtherapie,पूरक चिकित्सा,補完療法
complex post-traumatic stress disorder,trastorno de estrés postraumático complejo,rối loạn căng thẳng sau chấn thương phức tạp,اضطراب ما بعد الصدمة المعقد,komplexe posttraumatische Belastungsstörung,जटिल उत्तर-आघातजन्य तनाव विकार,複雑性心的外傷後ストレス障害
computer addiction,adicción a la computadora,nghiện máy tính,إدمان الكمبيوتر,Computersucht,कंप्यूटर की लत,コンピューター中毒
concussion,conmoción cerebral,chấn động não,الارتجاج,Gehirnerschütterung,हिलाना,脳震盪
condoms,condones,bao cao su,الواقي الذكري,Kondome,कंडोम,コンドーム
confusion,confusión,lú lẫn,ارتباك,Verwirrung,भ्रम,混乱
congenital adrenal hyperplasia,hiperplasia suprarrenal congénita,tăng sản tuyến thượng thận bẩm sinh,تضخم الغدة الكظرية الخلقي,kongenitale Nebennierenhyperplasie,जन्मजात अधिवृक्कीय अधिवृद्धि,先天性副腎過形成
congenital anomalies,anomalías congénitas,dị tật bẩm sinh,التشوهات الخلقية,angeborene Anomalien,जन्मजात विसंगतियाँ,先天異常
congenital disorder,trastorno congénito,rối loạn bẩm sinh,اضطراب خلقي,angeborene Störung,जन्मजात विकार,先天性疾患
congenital heart disease,cardiopatía congénita,bệnh tim bẩm sinh,أمراض القلب الخلقية,angeborene Herzkrankheit,जन्मजात हृदय रोग,先天性心疾患
congestive heart failure,insuficiencia cardíaca congestiva,suy tim sung huyết,قصور القلب الاحتقاني,Herzinsuffizienz,कोंजेस्टिव दिल विफलता,うっ血性心不全
conjunctivitis,"formal: conjuntivitis | informal: ojo rosa, ojo rojo, conjuntivitis","formal: viêm kết mạc | informal: đau mắt đỏ, đỏ mắt","formal: التهاب الملتحمة | informal: الرمد الربيعي, عين وردية, التهاب الملتحمة","formal: Konjunktivitis | informal: Bindehautentzündung, rotes Auge","formal: नेत्रश्लेष्मलाशोथ | informal: आँख आना, लाल आँख, गुलाबी आँख","formal: 結膜炎 | informal: はやり目, 赤い目, 結膜炎"
connective tissue diseases,enfermedades del tejido conectivo,bệnh lý mô liên kết,أمراض النسيج الضام,Bindegewebserkrankungen,संयोजी ऊतक रोग,結合組織疾患
constipation,constipación,táo bón,إمساك,Verstopfung,कब्ज़,便秘
constipation in children,estreñimiento en niños,táo bón ở trẻ em,الإمساك عند الأطفال,Verstopfung bei Kindern,बच्चों में कब्ज,小児の便秘
consumer rights,derechos del consumidor,quyền người tiêu dùng,حقوق المستهلك,Verbraucherrechte,उपभोक्ता अधिकार,消費者の権利
contact dermatitis,dermatitis de contacto,viêm da tiếp xúc,التهاب الجلد التماسي,Kontaktdermatitis,संपर्क त्वचाशोथ,接触性皮膚炎
contact tracing,rastreo de contactos,truy vết tiếp xúc,تتبع المخالطين,Kontaktverfolgung,संपर्क ट्रेसिंग,接触者追跡
contraception,anticoncepción,biện pháp tránh thai,منع الحمل,Empfängnisverhütung,गर्भनिरोध,避妊
contraceptive diaphragm,diafragma anticonceptivo,màng ngăn tránh thai,غشاء مانع للحمل,Verhütungsdiaphragma,गर्भनिरोधक डायाफ्राम,避妊用ダイヤフラム
contraceptive implant,implante anticonceptivo,cấy ghép tránh thai,غرسة منع الحمل,Verhütungsimplantat,गर्भनिरोधक प्रत्यारोपण,避妊インプラント
contraceptive injection,inyección anticonceptiva,thuốc tiêm tránh thai,حقنة منع الحمل,Verhütungsspritze,गर्भनिरोधक इंजेक्शन,避妊注射
contraceptive intra-uterine device,dispositivo intrauterino anticonceptivo,dụng cụ tránh thai đặt trong tử cung,جهاز منع الحمل داخل الرحم,Verhütungsstäbchen,गर्भनिरोधक अंतर्गर्भाशयी उपकरण,避妊用子宮内避妊器具
contraceptive vaginal ring,anillo vaginal anticonceptivo,vòng tránh thai đặt âm đạo,حلقة مهبلية مانعة للحمل,Verhütungsring für die Vagina,गर्भनिरोधक योनि वलय,避妊用膣リング
contractions,contracciones,co thắt,انقباضات,Kontraktionen,संकुचन,収縮
copd,EPOC,bệnh phổi tắc nghẽn mãn tính,مرض الانسداد الرئوي المزمن,COPD,सीओपीडी,COD
coping with a terminal illness,cómo afrontar una enfermedad terminal,Đối phó với bệnh nan y,التعامل مع مرض عضال,Umgang mit einer unheilbaren Krankheit,किसी असाध्य बीमारी से निपटना,末期疾患への対処
corneal transplant surgery,cirugía de trasplante de córnea,phẫu thuật ghép giác mạc,جراحة زرع القرنية,Hornhauttransplantation,कॉर्नियल प्रत्यारोपण सर्जरी,角膜移植手術
corneal ulcers,úlceras corneales,loét giác mạc,قرحة القرنية,Hornhautgeschwüre,कॉर्नियल अल्सर,角膜潰瘍
coronary angiogram,angiografía coronaria,chụp mạch vành,تصوير الأوعية التاجية,Koronarangiographie,कोरोनरी एंजियोग्राम,冠動脈造影
coronary artery bypass graft,injerto de derivación de arteria coronaria,phẫu thuật bắc cầu động mạch vành,جراحة تحويل مسار الشريان التاجي,Koronararterien-Bypass-Operation,कोरोनरी धमनी बाईपास ग्राफ्ट,冠動脈バイパス移植
coronary heart disease,enfermedad coronaria,bệnh tim mạch vành,مرض القلب التاجي,koronare Herzkrankheit,हृद - धमनी रोग,冠状動脈性心疾患
coronaviruses,coronavirus,vi-rút corona,فيروسات كورونا,Coronaviren,कोरोनावाइरस,コロナウイルス
correcting a squint,corregir el estrabismo,chỉnh sửa tật lác mắt,تصحيح الحول,Schielen korrigieren,भेंगापन ठीक करना,斜視を矯正する
cortisol,cortisol,cortisol,الكورتيزول,Cortisol,कोर्टिसोल,コルチゾール
cosmetic procedures,procedimientos cosméticos,các thủ thuật thẩm mỹ,عمليات التجميل,kosmetische Eingriffe,कॉस्मेटिक प्रक्रियाएं,美容整形手術
cosmetic surgery,cirugía estética,phẫu thuật thẩm mỹ,جراحة التجميل,kosmetische Chirurgie,कॉस्मेटिक सर्जरी,美容整形
cost of dental care,costo de la atención dental,chi phí chăm sóc răng miệng,تكلفة العناية بالأسنان,Kosten der Zahnbehandlung,दंत चिकित्सा की लागत,歯科治療費
cost of mental health services,costo de los servicios de salud mental,chi phí dịch vụ sức khỏe tâm thần,تكلفة خدمات الصحة النفسية,Kosten für psychische Gesundheitsdienste,मानसिक स्वास्थ्य सेवाओं की लागत,精神保健サービスの費用
costochondritis,costocondritis,viêm sụn sườn,التهاب الغضروف الضلعي,Costochondritis,कॉस्टोकोंड्राइटिस,肋軟骨炎
costs of healthcare,costos de atención médica,chi phí chăm sóc sức khỏe,تكاليف الرعاية الصحية,Kosten der Gesundheitsversorgung,स्वास्थ्य सेवा की लागत,医療費
cough,tos,ho,سعال,Husten,खाँसी,咳
coughing up blood,tosiendo sangre,ho ra máu,يسعل دماً,Blut husten,खून की उल्टी करना,血を吐く
coughs and colds,tos y resfriados,ho và cảm lạnh,السعال ونزلات البرد,Husten und Erkältungen,खांसी और जुकाम,咳と風邪
counselling,asesoramiento,tư vấn,الاستشارة,Beratung,काउंसलिंग,カウンセリング
counsellors,consejeros,cố vấn,المستشارون,Berater,सलाहकार,カウンセラー
covid-19,COVID-19,COVID-19,كوفيد-19,COVID-19,COVID-19,COVID-19（新型コロナウイルス感染症
covid-19 medication,medicamentos para la COVID-19,thuốc điều trị COVID-19,أدوية كوفيد-19,Covid-19-Medikamente,कोविड-19 दवा,新型コロナウイルス感染症の治療薬
covid-19 vaccine faqs,Preguntas frecuentes sobre la vacuna contra la COVID-19,Câu hỏi thường gặp về vắc-xin Covid-19,أسئلة وأجوبة حول لقاح كوفيد-19,Häufig gestellte Fragen zum COVID-19-Impfstoff,कोविड-19 वैक्सीन से संबंधित अक्सर पूछे जाने वाले प्रश्न,新型コロナウイルスワクチンに関するよくある質問
cow's milk allergy,alergia a la leche de vaca,dị ứng sữa bò,حساسية حليب البقر,Kuhmilchallergie,गाय के दूध से एलर्जी,牛乳アレルギー
crabs,cangrejos,cua,سرطان البحر,Krabben,केकड़े,カニ
cradle cap,costra láctea,vảy da đầu ở trẻ sơ sinh,قشرة الرأس عند الرضع,Kopfhaut,क्रैडल कैप,乳児脂漏性湿疹
creating healthy habits,crear hábitos saludables,tạo dựng những thói quen lành mạnh,خلق عادات صحية,gesunde Gewohnheiten entwickeln,स्वस्थ आदतें बनाना,健康的な習慣を作る
creutzfeldt-jakob disease,enfermedad de Creutzfeldt-Jakob,bệnh Creutzfeldt-Jakob,مرض كروتزفيلد جاكوب,Creutzfeldt-Jakob-Krankheit,क्रुट्ज़फेल्ड-जैकोब रोग,クロイツフェルト・ヤコブ病
cri du chat syndrome,síndrome de cri du chat,hội chứng cri du chat,متلازمة صرخة القط,Cri-du-chat-Syndrom,क्राई डू चैट सिंड्रोम,猫鳴き症候群
crohn's disease,enfermedad de Crohn,bệnh Crohn,مرض كرون,Morbus Crohn,क्रोहन रोग,クローン病
cryptosporidiosis,criptosporidiosis,bệnh cryptosporidiosis,داء خفيات الأبواغ,Kryptosporidiose,क्रिप्टोस्पोरिडियोसिस,クリプトスポリジウム症
crystal meth,metanfetamina cristalina,ma túy đá,الميثامفيتامين,Crystal Meth,क्रिस्टल मेथ,クリスタルメス
ct scan,tomografía computarizada,chụp CT,التصوير المقطعي المحوسب,CT-Scan,सीटी स्कैन,CTスキャン
cushing's syndrome,síndrome de Cushing,hội chứng Cushing,متلازمة كوشينغ,Cushing-Syndrom,कुशिंग सिंड्रोम,クッシング症候群
cuts,recortes,cắt,جروح,Schnitte,कटौती,削減
cyberbullying,ciberacoso,bắt nạt trên mạng,التنمر الإلكتروني,Cybermobbing,साइबर-धमकी,サイバーいじめ
cycling,ciclismo,đạp xe,ركوب الدراجات,Radfahren,साइकिल चलाना,サイクリング
cyclone and flood health risks,riesgos para la salud derivados de ciclones e inundaciones,rủi ro sức khỏe do lốc xoáy và lũ lụt,مخاطر صحية ناجمة عن الأعاصير والفيضانات,Gesundheitsrisiken durch Zyklone und Überschwemmungen,चक्रवात और बाढ़ से होने वाले स्वास्थ्य जोखिम,サイクロンと洪水による健康リスク
cyclothymia,ciclotimia,rối loạn khí sắc chu kỳ,اضطراب المزاج الدوري,Zyklothymie,Cyclothymia,気分循環症
cystic fibrosis,fibrosis quística,bệnh xơ nang,تليّف كيسي,Mukoviszidose,पुटीय तंतुशोथ,嚢胞性線維症
cystitis,cistitis,viêm bàng quang,التهاب المثانة,Blasenentzündung,मूत्राशयशोध,膀胱炎
cystoscopy,cistoscopia,nội soi bàng quang,تنظير المثانة,Zystoskopie,मूत्राशयदर्शन,膀胱鏡検査
cysts,quistes,u nang,الأكياس,Zysten,अल्सर,嚢胞
cytomegalovirus,citomegalovirus,vi-rút cự bào,فيروس مضخم للخلايا,Cytomegalovirus,साइटोमेगालो वायरस,サイトメガロウィルス
d-dimer test,prueba de dímero D,xét nghiệm d-dimer,اختبار د-دايمر,D-Dimer-Test,डी-डाइमर परीक्षण,Dダイマー検査
dairy foods,productos lácteos,thực phẩm từ sữa,منتجات الألبان,Milchprodukte,दूध से बने खाद्य पदार्थ,乳製品
dandruff,caspa,gàu,قشرة رأس,Schuppen,रूसी,ふけ
dbt,dbt,dbt,العلاج السلوكي الجدلي,dbt,डीबीटी,dbt
de quervain disease surgery,Cirugía de la enfermedad de De Quervain,Phẫu thuật điều trị bệnh De Quervain,جراحة مرض دي كيرفان,Operation bei Morbus de Quervain,डी क्वेरवेन रोग की सर्जरी,ドケルバン病手術
de quervain's disease,enfermedad de De Quervain,bệnh de quervain,مرض دي كيرفان,De-Quervain-Krankheit,डी क्वेरवेन रोग,ドケルバン病
deafness,sordera,điếc,الصمم,Taubheit,बहरापन,難聴
dealing with childhood cancer,Cómo afrontar el cáncer infantil,đối phó với bệnh ung thư ở trẻ em,التعامل مع سرطان الأطفال,Umgang mit Kinderkrebs,बचपन के कैंसर से निपटना,小児がんとの闘い
dealing with life events,afrontar los acontecimientos de la vida,đối phó với các sự kiện trong cuộc sống,التعامل مع أحداث الحياة,Umgang mit Lebensereignissen,जीवन की घटनाओं से निपटना,人生の出来事に対処する
dealing with morning sickness,Cómo lidiar con las náuseas matutinas,đối phó với ốm nghén,التعامل مع غثيان الصباح,Umgang mit Schwangerschaftsübelkeit,मॉर्निंग सिकनेस से निपटना,つわりへの対処法
deep vein thrombosis,trombosis venosa profunda,huyết khối tĩnh mạch sâu,تجلط الأوردة العميقة,tiefe Venenthrombose,गहरी नस घनास्रता,深部静脈血栓症
defibrillators,desfibriladores,máy khử rung tim,أجهزة إزالة الرجفان,Defibrillatoren,डिफ़िब्रिलेटर्स,除細動器
deficiency,deficiencia,thiếu hụt,نقص,Mangel,कमी,欠乏
degenerative arthritis,artritis degenerativa,viêm khớp thoái hóa,التهاب المفاصل التنكسي,degenerative Arthritis,अपक्षयी गठिया,変形性関節炎
dehydration,deshidración,mất nước,جفاف,Dehydration,निर्जलीकरण,脱水
delayed ejaculation,eyaculación retardada,xuất tinh chậm,تأخر القذف,verzögerte Ejakulation,विलंबित स्खलन,射精遅延
delirium and dementia,delirio y demencia,mê sảng và sa sút trí tuệ,الهذيان والخرف,Delir und Demenz,प्रलाप और मनोभ्रंश,せん妄と認知症
delusions,ilusiones,ảo tưởng,الأوهام,Wahnvorstellungen,भ्रम,妄想
dementia,demencia,chứng mất trí nhớ,الخَرَف,Demenz,मनोभ्रंश,認知症
dementia and driving,demencia y conducción,chứng mất trí nhớ và lái xe,الخرف والقيادة,Demenz und Autofahren,मनोभ्रंश और ड्राइविंग,認知症と運転
dengue fever,fiebre del dengue,sốt xuất huyết,حمى الضنك,Denguefieber,डेंगू बुखार,デング熱
dental bleeding,sangrado dental,chảy máu răng,نزيف الأسنان,Zahnblutung,दांतों से खून आना,歯の出血
dental braces and retainers,aparatos de ortodoncia y retenedores,niềng răng và dụng cụ giữ răng,تقويم الأسنان وأجهزة التثبيت,Zahnspangen und Retainer,डेंटल ब्रेसेस और रिटेनर,歯列矯正器具とリテーナー
dental bridge,puente dental,cầu răng,جسر الأسنان,Zahnbrücke,डेंटल ब्रिज,デンタルブリッジ
dental care,atención dental,chăm sóc răng miệng,العناية بالأسنان,Zahnpflege,दंत चिकित्सा देखभाल,歯科治療
dental check-up,revisión dental,khám răng,فحص الأسنان,Zahnärztliche Untersuchung,दंत जाँच,歯科検診
dental crown procedure,procedimiento de corona dental,thủ thuật bọc răng sứ,إجراء تركيب تاج الأسنان,Zahnkronenverfahren,डेंटल क्राउन प्रक्रिया,歯冠処置
dental erosion,erosión dental,mòn răng,تآكل الأسنان,Zahnerosion,दंत क्षरण,歯の浸食
dental fillings,empastes dentales,trám răng,حشوات الأسنان,Zahnfüllungen,दांतों की फिलिंग,歯の詰め物
dental fissure sealants,selladores de fisuras dentales,chất trám khe răng,مواد مانعة للتشققات السنية,Zahnfissurenversiegelung,दंत दरार सीलेंट,歯の溝を埋めるシーラント
dental hygeine,higiene dental,vệ sinh răng miệng,نظافة الأسنان,Zahnhygiene,दंत स्वच्छता,歯科衛生
dental injury,lesión dental,chấn thương răng miệng,إصابة في الأسنان,Zahnverletzung,दंत चोट,歯の損傷
dental problems,problemas dentales,các vấn đề về răng miệng,مشاكل الأسنان,Zahnprobleme,दंत समस्याएं,歯の問題
dental procedures,procedimientos dentales,các thủ thuật nha khoa,إجراءات طب الأسنان,zahnärztliche Eingriffe,दंत प्रक्रियाएं,歯科処置
dental procedures and appliances,procedimientos y aparatos dentales,các thủ thuật và thiết bị nha khoa,إجراءات وأجهزة طب الأسنان,Zahnärztliche Verfahren und Apparaturen,दंत चिकित्सा प्रक्रियाएं और उपकरण,歯科処置および歯科器具
dentures,dentadura postiza,răng giả,أطقم الأسنان,Zahnersatz,डेन्चर,義歯
depression,depresión,trầm cảm,اكتئاب,Depression,अवसाद,うつ
depression - how to help,depresión: cómo ayudar,Trầm cảm - cách điều trị,الاكتئاب - كيفية المساعدة,Depression – wie man helfen kann,अवसाद - इससे कैसे निपटें,うつ病 - 対処法
depression after pregnancy,depresión después del embarazo,trầm cảm sau khi mang thai,الاكتئاب بعد الحمل,Depression nach der Schwangerschaft,गर्भावस्था के बाद अवसाद,産後うつ病
depression in children,depresión en niños,trầm cảm ở trẻ em,الاكتئاب عند الأطفال,Depression bei Kindern,बच्चों में अवसाद,小児のうつ病
depression in men,depresión en los hombres,trầm cảm ở nam giới,الاكتئاب عند الرجال,Depression bei Männern,पुरुषों में अवसाद,男性のうつ病
depression in older people,depresión en personas mayores,trầm cảm ở người lớn tuổi,الاكتئاب لدى كبار السن,Depression bei älteren Menschen,वृद्ध लोगों में अवसाद,高齢者のうつ病
depression in women,depresión en las mujeres,trầm cảm ở phụ nữ,الاكتئاب عند النساء,Depression bei Frauen,महिलाओं में अवसाद,女性のうつ病
depression in young people,depresión en jóvenes,trầm cảm ở người trẻ tuổi,الاكتئاب لدى الشباب,Depression bei jungen Menschen,युवाओं में अवसाद,若者のうつ病
dermatitis,dermatitis,viêm da,التهاب الجلد,Dermatitis,जिल्द की सूजन,皮膚炎
dermatitis herpetiformis,dermatitis herpetiforme,viêm da dạng herpes,التهاب الجلد الهربسي الشكل,Dermatitis herpetiformis,डर्मेटाइटिस हर्पेटिफॉर्मिस,疱疹状皮膚炎
dermatologist,dermatólogo,bác sĩ da liễu,طبيب الأمراض الجلدية,Dermatologe,त्वचा विशेषज्ञ,皮膚科医
dermatomyositis,dermatomiositis,viêm da cơ,التهاب الجلد والعضلات,Dermatomyositis,डर्माटोमायोसिटिस,皮膚筋炎
detox,desintoxicación,giải độc,التخلص من السموم,Entgiftung,डिटॉक्स,デトックス
developmental milestones,hitos del desarrollo,các mốc phát triển,مراحل النمو,Entwicklungsmeilensteine,विकासात्मक महत्वपूर्णता,発達上の節目
deviated septum,tabique desviado,vách ngăn lệch,انحراف الحاجز الأنفي,Nasenscheidewandverkrümmung,पथभ्रष्ट झिल्ली,鼻中隔弯曲症
diabetes,diabetes,bệnh tiểu đường,السكري,Diabetes,मधुमेह,糖尿病
diabetes and insulin,diabetes e insulina,bệnh tiểu đường và insulin,مرض السكري والأنسولين,Diabetes und Insulin,मधुमेह और इंसुलिन,糖尿病とインスリン
diabetes medicines,medicamentos para la diabetes,thuốc trị tiểu đường,أدوية السكري,Diabetesmedikamente,मधुमेह की दवाएँ,糖尿病治療薬
diabetes screening tests,pruebas de detección de diabetes,xét nghiệm sàng lọc bệnh tiểu đường,اختبارات الكشف عن مرض السكري,Diabetes-Screeningtests,मधुमेह स्क्रीनिंग परीक्षण,糖尿病スクリーニング検査
diabetes testing and monitoring,Pruebas y seguimiento de la diabetes,xét nghiệm và theo dõi bệnh tiểu đường,فحص ومراقبة مرض السكري,Diabetes-Testung und -Überwachung,मधुमेह की जांच और निगरानी,糖尿病の検査とモニタリング
diabetic ketoacidosis,cetoacidosis diabética,nhiễm toan ceton do tiểu đường,الحماض الكيتوني السكري,diabetische Ketoazidose,मधुमेह कीटोएसिडोसिस,糖尿病性ケトアシドーシス
diabetic neuropathy,neuropatía diabética,bệnh thần kinh do tiểu đường,اعتلال الأعصاب السكري,diabetische Neuropathie,मधुमेह तंत्रिका रोग,糖尿病性神経障害
diabetic retinopathy,retinopatía diabética,bệnh võng mạc tiểu đường,اعتلال الشبكية السكري,diabetische Retinopathie,डायबिटिक रेटिनोपैथी,糖尿病網膜症
diagnostic testing,pruebas de diagnóstico,xét nghiệm chẩn đoán,الاختبارات التشخيصية,diagnostische Tests,नैदानिक ​​परीक्षण,診断検査
diagnostic tests,pruebas de diagnóstico,xét nghiệm chẩn đoán,الاختبارات التشخيصية,diagnostische Tests,नैदानिक ​​परीक्षण,診断検査
dialectical behaviour therapy,terapia dialéctica conductual,liệu pháp hành vi biện chứng,العلاج السلوكي الجدلي,dialektische Verhaltenstherapie,द्वंद्वात्मक व्यवहार चिकित्सा,弁証法的行動療法
dialysis,diálisis,lọc máu,غسيل الكلى,Dialyse,डायलिसिस,透析
diaphragm,diafragma,màng ngăn,غشاء,Membran,डायाफ्राम,横隔膜
diarrhoea,"formal: diarrea | informal: cagalera, flojera de estómago, heces sueltas, heces blandas","formal: tiêu chảy | informal: tào tháo đuổi, đi ngoài, phân lỏng","formal: إسهال | informal: إسهال, مغص مع إسهال, براز سائل, براز رخو","formal: Diarrhö | informal: Flitzekacke, Dünnpfiff, flüssiger Stuhl, Durchfall","formal: अतिसार | informal: दस्त, पेट चलना, ढीला मल, पतले दस्त","formal: 下痢 | informal: お腹がゆるい, 下痢, 軟便"
diarrhoea causes,la diarrea causa,tiêu chảy gây ra,أسباب الإسهال,Durchfallursachen,दस्त के कारण,下痢の原因
diarrhoea in children,diarrea en niños,tiêu chảy ở trẻ em,الإسهال عند الأطفال,Durchfall bei Kindern,बच्चों में दस्त,小児の下痢
diazepam,diazepam,diazepam,ديازيبام,Diazepam,डायजेपाम,ジアゼパム
diet,dieta,ăn kiêng,نظام عذائي,Diät,आहार,ダイエット
dietary fats,grasas dietéticas,chất béo trong chế độ ăn,الدهون الغذائية,Nahrungsfette,आहार वसा,食事性脂肪
dietary fibre,fibra dietética,chất xơ trong chế độ ăn uống,الألياف الغذائية,Ballaststoffe,आहार फाइबर,食物繊維
dietitians,dietistas,chuyên gia dinh dưỡng,أخصائيو التغذية,Diätologen,dietitians,栄養士
diets,dietas,chế độ ăn uống,الحميات الغذائية,Diäten,आहार,ダイエット
difficulty reaching female orgasm,dificultad para alcanzar el orgasmo femenino,khó đạt cực khoái ở nữ,صعوبة الوصول إلى النشوة الجنسية لدى النساء,Schwierigkeiten beim Erreichen des weiblichen Orgasmus,महिला ऑर्गेज्म तक पहुंचने में कठिनाई,女性のオーガズムに達するのが難しい
diffuse idiopathic skeletal hyperostosis,hiperostosis esquelética idiopática difusa,chứng tăng sinh xương vô căn lan tỏa,فرط التعظم الهيكلي المنتشر مجهول السبب,diffuse idiopathische Skeletthyperostose,विसरित अज्ञातहेतु कंकाल हाइपरोस्टोसिस,びまん性特発性骨増殖症
digestive system,sistema digestivo,hệ tiêu hóa,الجهاز الهضمي,Verdauungssystem,पाचन तंत्र,消化器系
digital thermometers,termómetros digitales,nhiệt kế kỹ thuật số,موازين حرارة رقمية,digitale Thermometer,डिजिटल थर्मामीटर,デジタル温度計
dihydrocodeine,dihidrocodeína,dihydrocodeine,ثنائي هيدروكودايين,Dihydrocodein,डाईहाइड्रोकोडीन,ジヒドロコデイン
dilatation and curettage,dilatación y legrado,nong và nạo tử cung,التوسيع والكحت,Dilatation und Kürettage,फैलाव और क्यूरेटेज,拡張掻爬術
diphtheria,difteria,bệnh bạch hầu,الخناق,Diphtherie,डिप्थीरिया,ジフテリア
disability services and allied healthcare,servicios para personas con discapacidad y atención médica afín,dịch vụ dành cho người khuyết tật và chăm sóc sức khỏe liên quan,خدمات ذوي الإعاقة والرعاية الصحية المساعدة,Dienstleistungen für Menschen mit Behinderungen und verwandte Gesundheitsdienstleistungen,विकलांगता सेवाएं और संबद्ध स्वास्थ्य सेवाएं,障害者サービスおよび関連医療
disability services and the ndis,servicios para discapacitados y el ndis,dịch vụ dành cho người khuyết tật và NDIS,خدمات ذوي الإعاقة ونظام دعم الإعاقة الوطني,Behindertenhilfe und die NDIS,विकलांगता सेवाएं और एनडीआई,障害者サービスとNDIS
disasters,desastres,thảm họa,الكوارث,Katastrophen,आपदाओं,災害
disease modifying antirheumatic drugs for arthritis,fármacos antirreumáticos modificadores de la enfermedad para la artritis,thuốc điều trị thấp khớp làm thay đổi tiến trình bệnh viêm khớp,الأدوية المضادة للروماتيزم المعدلة للمرض لعلاج التهاب المفاصل,krankheitsmodifizierende Antirheumatika bei Arthritis,गठिया के लिए रोग-संशोधक एंटीरूमेटिक दवाएं,関節炎に対する疾患修飾性抗リウマチ薬
disorientation,desorientación,mất phương hướng,الارتباك,Desorientierung,भटकाव,見当識障害
dissociative identity disorder,trastorno de identidad disociativa,rối loạn đa nhân cách,اضطراب الهوية الانفصامية,dissoziative Identitätsstörung,वियोजित पहचान विकार,解離性同一性障害
diuretic medicines,medicamentos diuréticos,thuốc lợi tiểu,الأدوية المدرة للبول,Diuretika,मूत्रवर्धक दवाएँ,利尿薬
diverticular disease,enfermedad diverticular,bệnh túi thừa,داء الرتوج,Divertikelerkrankung,डायवर्टिकुलर रोग,憩室疾患
divorce and break up,divorcio y ruptura,ly hôn và chia tay,الطلاق والانفصال,Scheidung und Trennung,तलाक और अलगाव,離婚と別れ
doctor,doctor,bác sĩ,طبيب,Arzt,चिकित्सक,医者
dog bites,mordeduras de perro,chó cắn,عضات الكلاب,Hundebisse,कुत्ते के काटने,犬に噛まれた
domestic violence and abusive relationships,violencia doméstica y relaciones abusivas,bạo lực gia đình và các mối quan hệ lạm dụng,العنف المنزلي والعلاقات المسيئة,häusliche Gewalt und missbräuchliche Beziehungen,घरेलू हिंसा और अपमानजनक रिश्ते,家庭内暴力と虐待的な関係
donation,donación,quyên góp,هبة,Spende,दान,寄付
dopamine,dopamina,dopamine,الدوبامين,Dopamin,डोपामाइन,ドーパミン
down syndrome,síndrome de Down,hội chứng Down,متلازمة داون,Down-Syndrom,डाउन सिंड्रोम,ダウン症候群
doxycycline,doxiciclina,doxycycline,دوكسيسايكلين,Doxycyclin,डॉक्सीसाइक्लिन,ドキシサイクリン
drinking alcohol,beber alcohol,uống rượu,شرب الكحول,Alkohol trinken,शराब पीना,アルコールを飲む
drinking water and your health,El agua potable y su salud,Nước uống và sức khỏe của bạn,مياه الشرب وصحتك,Trinkwasser und Ihre Gesundheit,पीने का पानी और आपका स्वास्थ्य,飲料水とあなたの健康
droughts,sequías,hạn hán,الجفاف,Dürren,सूखे,干ばつ
drowning,ahogo,chết đuối,الغرق,Ertrinken,डूबना,溺死
drug and alcohol rehabilitation,rehabilitación de drogas y alcohol,cai nghiện ma túy và rượu,إعادة تأهيل مدمني المخدرات والكحول,Drogen- und Alkoholrehabilitation,नशीली दवाओं और शराब का पुनर्वास,薬物・アルコール依存症のリハビリテーション
drug overdose,sobredosis de drogas,quá liều thuốc,جرعة زائدة من المخدرات,Drogenüberdosis,मात्रा से अधिक दवाई,薬物過剰摂取
drugs and alcohol,drogas y alcohol,ma túy và rượu,المخدرات والكحول,Drogen und Alkohol,ड्रग्स और शराब,薬物とアルコール
